aoM	0f00
 	0f0b
,	0f0d
0	0f20
1	0f21
2	0f22
3	0f23
4	0f24
5	0f25
6	0f26
7	0f27
8	0f28
9	0f29
k	0f40
kh	0f41
g	0f42
gh	0f43
çn	0f44
c	0f45
ch	0f46
j	0f47
än	0f49
òt	0f4a
òth	0f4b
òd	0f4c
òdh	0f4d
òn	0f4e
t	0f4f
th	0f50
d	0f51
dh	0f52
n	0f53
p	0f54
ph	0f55
b	0f56
bh	0f57
m	0f58
ts	0f59
tsh	0f5a
dz	0f5b
dzh	0f5c
w	0f5d
âz	0f5e
z	0f5f
'	0f60
y	0f61
r	0f62
l	0f63
âs	0f64
òs	0f65
s	0f66
h	0f67
a	0f68
kòs	0f69
r	0f6a
å	0f71
i	0f72
åi	0f73
u	0f74
åu	0f75
e	0f7a
ai	0f7b
o	0f7c
au	0f7d
òm	0f7e
òh	0f7f
ô	0f80
åô	0f81
§y	0f61
