aoM	0f00
'u~ ^	0f02
'UH:	0f03
@	0f04
#	0f05
$	0f06
%	0f07
!	0f08
 	0f0b
*	0f0c
/	0f0d
//	0f0e
;	0f0f
[	0f10
|	0f11
]	0f12
`	0f13
:	0f14
0	0f20
1	0f21
2	0f22
3	0f23
4	0f24
5	0f25
6	0f26
7	0f27
8	0f28
9	0f29
=	0f34
<	0f3a
>	0f3b
(	0f3c
)	0f3d
{	0f3e
}	0f3f
k	0f40
kh	0f41
g	0f42
gh	0f43
ng	0f44
c	0f45
ch	0f46
j	0f47
ny	0f49
T	0f4a
Th	0f4b
D	0f4c
Dh	0f4d
N	0f4e
t	0f4f
th	0f50
d	0f51
dh	0f52
n	0f53
p	0f54
ph	0f55
b	0f56
bh	0f57
m	0f58
ts	0f59
tsh	0f5a
dz	0f5b
dzh	0f5c
w	0f5d
zh	0f5e
z	0f5f
'	0f60
y	0f61
r	0f62
l	0f63
sh	0f64
Sh	0f65
s	0f66
h	0f67
a	0f68
kSh	0f69
r	0f6a
A	0f71
i	0f72
I	0f73
u	0f74
U	0f75
Ri	0f76
RI	0f77
Li	0f78
LI	0f79
e	0f7a
ai	0f7b
o	0f7c
au	0f7d
M	0f7e
H	0f7f
-i	0f80
-I	0f81
~ ^	0f82
M^	0f83
?	0f84
&	0f85
.y	0f61
